"","CatchId","Stage","Discharge (m3s-1)"
"1",17596109,0,0
"2",17596109,0.3048,3.11246484279
"3",17596109,0.6096,10.4706180059
"4",17596109,0.9144,23.1795500879
"5",17596109,1.2192,42.1753317442
"6",17596109,1.524,67.6799238913
"7",17596109,1.8288,98.8096108103
"8",17596109,2.1336,139.709058481
"9",17596109,2.4384,187.317038136
"10",17596109,2.7432,243.627505026
"11",17596109,3.048,310.39492138
"12",17596109,3.3528,382.045497784
"13",17596109,3.6576,467.369521141
"14",17596109,3.9624,560.657691463
"15",17596109,4.2672,661.439079067
"16",17596109,4.572,773.559841096
"17",17596109,4.8768,903.526302604
"18",17596109,5.1816,1044.28707358
"19",17596109,5.4864,1190.52558857
"20",17596109,5.7912,1355.17580232
"21",17596109,6.096,1539.96657509
"22",17596109,6.4008,1740.33858046
"23",17596109,6.7056,1954.58679385
"24",17596109,7.0104,2184.1147295
"25",17596109,7.3152,2416.57073755
"26",17596109,7.62,2667.42457468
"27",17596109,7.9248,2955.6335125
"28",17596109,8.2296,3263.78098235
"29",17596109,8.5344,3603.32660425
"30",17596109,8.8392,3968.92715776
"31",17596109,9.144,4349.89843038
"32",17596109,9.4488,4766.69755797
"33",17596109,9.7536,5210.59035675
"34",17596109,10.0584,5672.38467301
"35",17596109,10.3632,6183.92765964
"36",17596109,10.668,6726.92469211
"37",17596109,10.9728,7306.0677469
"38",17596109,11.2776,7922.81683031
"39",17596109,11.5824,8567.18808665
"40",17596109,11.8872,9277.53704148
"41",17596109,12.192,9993.23254732
"42",17596109,12.4968,10756.4602865
"43",17596109,12.8016,11571.184363
"44",17596109,13.1064,12399.7249046
"45",17596109,13.4112,13255.8931209
"46",17596109,13.716,14070.6984779
"47",17596109,14.0208,14978.2094888
"48",17596109,14.3256,15903.0508259
"49",17596109,14.6304,16910.6639432
"50",17596109,14.9352,17952.8729694
"51",17596109,15.24,19063.2201229
"52",17596109,15.5448,20170.3680094
"53",17596109,15.8496,21379.9925034
"54",17596109,16.1544,22607.0799082
"55",17596109,16.4592,23847.2615094
"56",17596109,16.764,25138.9370081
"57",17596109,17.0688,26481.1846703
"58",17596109,17.3736,27807.8514504
"59",17596109,17.6784,29171.4002419
"60",17596109,17.9832,30608.9171676
"61",17596109,18.288,32025.1091587
"62",17596109,18.5928,33441.8910037
"63",17596109,18.8976,34969.3067389
"64",17596109,19.2024,36509.5286821
"65",17596109,19.5072,38054.8960734
"66",17596109,19.812,39621.038538
"67",17596109,20.1168,41283.8952833
"68",17596109,20.4216,42922.0678643
"69",17596109,20.7264,44616.3806198
"70",17596109,21.0312,46342.358042
"71",17596109,21.336,48108.0134197
"72",17596109,21.6408,49830.711403
"73",17596109,21.9456,51648.213408
"74",17596109,22.2504,53562.2530172
"75",17596109,22.5552,55473.0332817
"76",17596109,22.86,57378.4457797
"77",17596109,23.1648,59339.8034578
"78",17596109,23.4696,61311.7383727
"79",17596109,23.7744,63340.7151183
"80",17596109,24.0792,65349.9732942
"81",17596109,24.384,67432.1143675
"82",17596109,24.6888,69493.2291124
"83",17596109,24.9936,71619.6676842
"84",17595427,0,0
"85",17595427,0.3048,3.98785982926
"86",17595427,0.6096,17.899390766
"87",17595427,0.9144,42.1631938961
"88",17595427,1.2192,76.4451964411
"89",17595427,1.524,119.985418555
"90",17595427,1.8288,171.424350275
"91",17595427,2.1336,225.743821497
"92",17595427,2.4384,282.837085775
"93",17595427,2.7432,340.29646832
"94",17595427,3.048,415.947827536
"95",17595427,3.3528,508.185460979
"96",17595427,3.6576,613.368036855
"97",17595427,3.9624,728.146125128
"98",17595427,4.2672,863.257565434
"99",17595427,4.572,1011.74440419
"100",17595427,4.8768,1176.09794564
"101",17595427,5.1816,1356.49649132
"102",17595427,5.4864,1565.9841551
"103",17595427,5.7912,1798.85695821
"104",17595427,6.096,2068.97249314
"105",17595427,6.4008,2368.33287659
"106",17595427,6.7056,2690.76267983
